Names,Prices
"[None, 'Save-On-Foods - Whole Chicken 9 Piece Cut Family Pack, 1 Each', 'Open product description']",['$12.00']
"[None, 'Apples - Gala, Small, 191.25 Gram', 'Open product description']",['$0.84 avg/ea']
"[None, 'Apples - Honey Crisp Apples, 202.5 Gram', 'Open product description']",['$1.33 avg/ea']
"[None, 'Avocados - Fresh, Mesh Bag 4, 4 Each', 'Open product description']",['$3.99']
"[None, 'Bake Shop - Cheddar Cheese Rolls, 6 Each', 'Open product description']",['$3.99']
"[None, 'Blueberries - Fresh, 510g, 510 Gram', 'Open product description']",['$7.99']
"[None, 'Cauliflower - Cello, Wrapped, 1 Each', 'Open product description']",['$2.99']
"[None, 'Cucumber - Long English, Fresh, 1 Each', 'Open product description']",['$2.49']
"[None, 'Grapes - Green Seedless 1 Bag Approx, 1000 Gram', 'Open product description']",['$8.80 avg/ea']
"[None, 'Grapes - Red Seedless, 1 Bag Approx, 1000 Gram', 'Open product description']",['$8.80 avg/ea']
"[None, 'Oranges - Mandarins, 1 Bag, 3 Pound', 'Open product description']",['$6.99']
"[None, 'Peppers - Mixed Bell, 1 Bag, 2 Pound', 'Open product description']",['$5.99']
"[None, 'Peppers - Red Bell, Hot House, 226 Gram', 'Open product description']",['$1.99 avg/ea']
"[None, 'Raspberries - Fresh, 1 Pint, 12 Ounce', 'Open product description']",['$7.99']
"[None, 'Salmon Village - Wild Sockeye Salmon Fillets, Frozen, 850 Gram', 'Open product description']",['$25.42 avg/ea']
"[None, 'Strawberries - Fresh, 1lb, 16 Ounce', 'Open product description']",['$5.49']
"[None, 'Tomatoes - On the Vine, Each, 150 Gram', 'Open product description']",['$0.49 avg/ea']
"[None, 'Western Canadian - Boneless Skinless Chicken Thighs, 1 Each', 'Open product description']",['$13.00']
"[None, 'Western Canadian - Ground Beef Lean, 500 Gram', 'Open product description']",['$7.00']
"[None, 'Western Family - Butter - Salted, 454 Gram', 'Open product description']",['$4.99']
"[None, 'Western Family - Large Size White Eggs, 12 Each', 'Open product description']",['$3.59']
"[None, 'Western Family - Romaine Hearts, 510 Gram', 'Open product description']",['$5.29']
"[None, 'Bananas - Organic Each, Fresh, 200 Gram', 'Open product description']",['$0.42 avg/ea']
"[None, 'Raspberries - Fresh, 6oz, 6 Ounce', 'Open product description']",['$2.99']
"[None, 'Lemons - Large Fresh, Each, 1 Each', 'Open product description']",['$0.99']
"[None, 'Peppers - Orange Bell, Hot House, 220 Gram', 'Open product description']",['$1.94 avg/ea']
"[None, 'Western Canadian - Sirloin Tip Marinating Steak, Family Pack, 840 Gram', 'Open product description']",['$17.57 avg/ea']
"[None, 'Olympic - Krema Yogurt 10% M.F. - Vanilla, 1.75 Kilogram', 'Open product description']",['$9.99']
"[None, 'Onions - Yellow Medium, Mesh Bag - 3lb, 3 Pound', 'Open product description']",['$2.49']
"[None, 'Apples - Ambrosia, Fresh, 206.67 Gram', 'Open product description']",['$0.59 avg/ea']
"[None, 'Pears - Bartlett, Fresh, 190 Gram', 'Open product description']",['$1.04 avg/ea']
"[None, 'Fresh Express - Bacon Caesar Salad Kit, 281 Gram', 'Open product description']",['$4.49']
"[None, 'Western Canadian - Stir Fry Beef, Sliced, Fresh, 350 Gram', 'Open product description']",['$8.87 avg/ea']
"[None, 'Nectarines - Large, Fresh, 150 Gram', 'Open product description']",['$0.82 avg/ea']
"[None, 'Hawkins - Cheezies, 285 Gram', 'Open product description']",['$3.99']
"[None, 'Western Family - Cooked Medium White Prawns, 340 Gram', 'Open product description']",['$12.99']
"[None, 'Fresh Is Best - Tri-Flavour Corn Tortilla Chips, 300 Gram', 'Open product description']",['$4.99']
"[None, 'Armstrong - Natural Cheddar Cheese - Old, 1.35 Kilogram', 'Open product description']",['$19.99']
"[None, 'Nestle - Pure Life Natural Spring Water, 24 Each', 'Open product description']",['$4.99']
"[None, 'Earthbound Farm - Organic Baby Spinach Salad, 142 Gram', 'Open product description']",['$5.49']
"[None, 'Earthbound Farm - Organic Baby Spinach Salad, 284 Gram', 'Open product description']",['$4.99']
"[None, 'Western Family - Spring Water, 24 Each', 'Open product description']",['$4.69']
"[None, 'Fresh Express - Caesar Supreme Salad Kit, 226 Gram', 'Open product description']",['$4.49']
"[None, 'Kraft Philadelphia - Original Cream Cheese, Brick, 250 Gram', 'Open product description']",['$4.79']
"[None, 'Folgers - Coffee - Classic Roast, 920 Gram', 'Open product description']",['$7.99']
"[None, 'Western Family - Hot Dog Buns - White, 12 Each', 'Open product description']",['$3.19']
"[None, 'Western Family - Prime Rib Beef Burgers, 6oz, 6 Each', 'Open product description']",['$12.99']
"[None, 'Harvest - All Beef Wieners, 675 Gram', 'Open product description']",['$9.99']
"[None, 'Western Family - Original Wraps Large, 8 Each', 'Open product description']",['$2.79']
"[None, 'Bake Shop - Apple Strudels, 6 Each', 'Open product description']",['$4.99']
"[None, 'Western Canadian - Pork Loin Chops, Tenderloin End, 930 Gram', 'Open product description']",['$8.80 avg/ea']
"[None, 'Western Family - Cheese - Old Cheddar, 600 Gram', 'Open product description']",['$9.39']
"[None, 'Western Family - Cheese - Marble Cheddar, 600 Gram', 'Open product description']",['$9.39']
"[None, 'Western Family - Thick Cut Bacon, 1 Kilogram', 'Open product description']",['$13.99']
"[None, 'Western Family - Tavern Style Chicken Wings - Honey Garlic, 750 Gram', 'Open product description']",['$15.99']
"[None, 'Everyday Bouquets - Cut Flowers,  Fresh, 1 Each', 'Open product description']",['$16.99']
"[None, 'Peppers - Yellow Bell, Hot House, 226 Gram', 'Open product description']",['$1.99 avg/ea']
"[None, 'Gatorade - G Perform Variety Pack, 24 Each', 'Open product description']",['$18.99']
"[None, 'Save-On-Foods - Roast Beef & Cheddar Cheese Sandwich, 1 Each', 'Open product description']",['$5.99']
"[None, 'Save-On-Foods - Chicken Breasts Thin Sliced -Free Run, 1 Each', 'Open product description']",['$13.00']
"[None, 'Bake Shop - XA Cinnamon Buns 6pk 480g, 480 Gram', 'Open product description']",['$4.99']
"[None, 'Brussel - Sprouts, Bulk, 1 Pound', 'Open product description']",['$2.99/lb']
"[None, 'Nabob - 1896 Tradition Medium Roast, 930 Gram', 'Open product description']",['$15.99']
"[None, 'Blueberries - Fresh, 6 Ounce', 'Open product description']",['$2.99']
