City,Country,notes
,,
Abidjan (former capital; still has many government offices), Ivory Coast,"
"
Yamoussoukro (official),"
",
Abu Dhabi, United Arab Emirates,"
"
Abuja, Nigeria,"Lagos was the capital from 1914 to 1991.
"
Accra, Ghana,"
"
Adamstown, Pitcairn Islands,"British Overseas Territory.
"
Addis Ababa, Ethiopia,"
"
"Aden (de facto, temporary)", Yemen,"Sana'a has been occupied by Houthis rebels since February 2015. Aden is Yemen's acting capital. See also: Yemeni Civil War (2015–present).
"
"Sana'a (de jure)
",,
Algiers, Algeria,"
"
Alofi, Niue,"Self-governing in free association with New Zealand.
"
Amman, Jordan,"
"
Amsterdam (official), Netherlands,"The Dutch constitution refers to Amsterdam as the ""capital"". Also of the public bodies of:  Bonaire,  Saba and  Sint Eustatius.
"
The Hague (de facto),"The Dutch government is located in The Hague, which also hosts the monarch, government ministries, judiciary and diplomatic missions.
",
Andorra la Vella, Andorra,"
"
Ankara, Turkey,"
"
Antananarivo, Madagascar,"
"
Apia, Samoa,"
"
Ashgabat, Turkmenistan,"
"
Asmara, Eritrea,"
"
Asunción, Paraguay,"
"
Athens, Greece,"
"
Avarua, Cook Islands,"Self-governing in free association with New Zealand.
"
Baghdad, Iraq,"
"
Baku, Azerbaijan,"
"
Bamako, Mali,"
"
Bandar Seri Begawan, Brunei,"
"
Bangkok, Thailand,"
"
Bangui, Central African Republic,"
"
Banjul, The Gambia,"
"
Basseterre, Saint Kitts and Nevis,"
"
Beijing, China,"See also: Historical capitals of China.
"
Beirut, Lebanon,"
"
Belgrade, Serbia,"
"
Belmopan, Belize,"
"
Berlin, Germany,"
"
Bern (de facto), Switzerland,"Switzerland has no de jure capital.
"
Bishkek, Kyrgyzstan,"
"
Bissau, Guinea-Bissau,"
"
Bloemfontein (judicial), South Africa,"
"
Cape Town (legislative),"
",
Pretoria (executive),"
",
Bogotá, Colombia,"
"
Brades (de facto), Montserrat,"British Overseas Territory. Plymouth was abandoned after the eruption of the Soufriere Hills volcano in 1997. Government offices since then have been moved to Brades, which is in the northwestern part of Montserrat.
"
"Plymouth (official)
",,
Brasília, Brazil,"
"
Bratislava, Slovakia,"
"
Brazzaville, Congo,"
"
Bridgetown, Barbados,"
"
Brussels, Belgium,"Also the de facto capital of the  European Union.
"
Bucharest, Romania,"
"
Budapest, Hungary,"
"
Buenos Aires, Argentina,"
"
Cairo, Egypt,"A new capital is being built at the New Administrative Capital. It will reportedly be named Wedian.
"
Canberra, Australia,"Planned city built to overcome the rivalry between Melbourne and Sydney, which were both put forward as potential capitals for the nation in the Australasia Federation Conventions of the 1890s. Section 125 of the Constitution gives basic details about the location of the capital, size of the encompassing territory and so forth, while the Seat of Government Act 1908 specified its precise location.
"
Caracas, Venezuela,"
"
